2026-01-27 13:43:21.406 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-01-27 13:43:21.420 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-01-27 13:43:21.425 INFO  [main] h.g.b.c.s.ServiceCatalogServerApplication - Started ServiceCatalogServerApplication in 2.99 seconds (process running for 3.444)
2026-01-27 13:43:27.500 INFO  [http-nio-8080-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-01-27 13:43:27.500 INFO  [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-01-27 13:43:27.501 INFO  [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-01-27 13:43:27.518 INFO  [http-nio-8080-exec-1] h.g.b.c.s.a.ServiceCatalogController - Listing catalog services
2026-01-27 13:43:27.518 INFO  [http-nio-8080-exec-2] h.g.b.c.s.a.ServiceCatalogController - Listing system of origin codes
2026-01-27 13:43:27.588 INFO  [http-nio-8080-exec-3] h.g.b.c.s.a.ServiceCatalogController - Listing system of origin codes
2026-01-27 13:43:27.598 INFO  [http-nio-8080-exec-4] h.g.b.c.s.a.ServiceCatalogController - Listing catalog services
2026-01-27 13:43:35.542 INFO  [http-nio-8080-exec-5] h.g.b.c.s.api.CodeSystemController - Listing code systems
2026-01-27 13:43:35.550 INFO  [http-nio-8080-exec-6] h.g.b.c.s.api.CodeSystemController - Listing code systems
2026-01-27 13:48:49.962 INFO  [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-01-27 13:48:49.963 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-01-27 13:48:49.965 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-01-27 13:48:52.675 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-01-27 13:48:52.697 INFO  [main] h.g.b.c.s.ServiceCatalogServerApplication - Starting ServiceCatalogServerApplication using Java 17.0.17 with PID 26760 (C:\Users\greg.pascucci\Apps\MOH\moh-plr-service-catalog\backend\target\classes started by greg.pascucci in C:\Users\greg.pascucci\Apps\MOH\moh-plr-service-catalog\backend)
2026-01-27 13:48:52.698 INFO  [main] h.g.b.c.s.ServiceCatalogServerApplication - No active profile set, falling back to 1 default profile: "default"
